index_prop	experiment	text	question	response_true	response_distractors
1	local_coherence	Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.	Se discută despre rezolvarea problemelor în capitolul 2?	Da	Nu
2	local_coherence	Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.	Brooks a fost reales datorită sprijinului susținătorilor săi?	Da	Nu
3	local_coherence	Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipat.	Trebuie să faceți clic pe un buton pentru a descărca fișierul?	Da	Nu
4	local_coherence	Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.	Configurația este determinată de activitatea optică?	Da	Nu
5	local_coherence	În prezent, un loc este egal cu aproximativ 600 000 de alegători.	Un loc reprezintă 600.000 de alegători?	Da	Nu
6	local_coherence	Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).	Fonturile decorative sunt recomandate pentru textul mic?	Nu	Da
7	local_coherence	În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderatoare asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.	McGonagall este loială lui Dumbledore?	Da	Nu
8	local_coherence	Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.	Au fost produse doar emisiuni de știri?	Nu	Da
9	local_coherence	Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.	Se recomandă să folosiți o viteză mare de găurire pentru șuruburile blocate?	Nu	Da
10	local_coherence	Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.	Partenerii s-au alăturat prin concesii teritoriale?	Da	Nu
11	local_coherence	În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.	Numărul de membri ai clubului scade în fiecare an?	Nu	Da
12	local_coherence	Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.	Lentilele cu zoom motorizate sunt sincronizate?	Da	Nu
13	local_coherence	Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură, determină formarea a două bule care conțin concentrații similare de materiale.	Condițiile de mediu pot duce la separarea bulelor?	Da	Nu
14	local_coherence	Întotdeauna patriot, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.	Laurens a negociat condițiile de pace la Paris?	Da	Nu
15	local_coherence	Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.	Studiul vă pregătește pentru sinteze organice?	Da	Nu
16	local_coherence	Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.	Exercițiile contribuie la un model de repetiție?	Da	Nu
