propozitie,cuvant,stadio88,iulia,user,petru,victor,sergiu,stadio88_iulia,stadio88_user,stadio88_petru,stadio88_victor,stadio88_sergiu,iulia_user,iulia_petru,iulia_victor,iulia_sergiu,user_petru,user_victor,user_sergiu,petru_victor,petru_sergiu,victor_sergiu,Agreement,Inter-rater Reliability
"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna.",tulburată,2,4,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,4,0.411888111888112
"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna.",conflictului,4,2,1,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4,
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie , a devenit ofițer de informații însărcinat cu infiltrarea  în partidele politice și cu raportarea  către superiorii săi cu privire la activitățile acestora.",oratorie,2,4,1,4,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora.",infiltrarea,2,4,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,6,
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora.",raportarea,4,2,1,2,2,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,
"Toate celelalte lucruri rămânând fel, nucleofilele  sunt, în general, comparate  între ele în ceea ce privește reactivitatea relativă .",nucleofilele,4,5,5,5,4,5,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,7,
"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă.",comparate,1,4,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,
"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă.",relativă,2,4,2,2,2,4,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,7,
"De asemenea, coeficientul de frecare  variază  foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea  celor două substanțe.",frecare,2,4,2,2,1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,4,
"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe.",variază,2,4,2,2,2,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,6,
"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe.",netezimea,2,4,2,2,2,3,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,6,
"Deși necesită disciplină, este extrem de important să se lucreze sistematic  în sens invers  în timp prin lista de registre, epuizând  toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",sistematic,4,4,2,2,2,4,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,6,
"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",invers,1,2,1,1,2,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,7,
"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",epuizând,1,2,1,2,2,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,6,
"Deși unele cadre  sunt prevăzute cu trei orificii  pentru știfturile de poziționare, unele frâne  funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",cadre,4,5,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
"Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",orificii,4,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,
"Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",frâne,2,4,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,4,
"Deși evreii au fost țintele principale  și sunt victimele despre care auzim  cel mai des atunci când vorbim  despre Holocaust, ei nu au fost singurele victime.",principale,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"Deși evreii au fost țintele principale și sunt victimele despre care auzim cel mai des atunci când vorbim despre Holocaust, ei nu au fost singurele victime.",auzim,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Deși evreii au fost țintele principale și sunt victimele despre care auzim cel mai des atunci când vorbim despre Holocaust, ei nu au fost singurele victime.",vorbim,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Printre aceste tehnologii  se număra fisiunea nucleară , care constă în divizarea unui atom foarte electronegativ  în atomi mai mici și care produce o energie de zece ori mai mare.",tehnologii,2,4,2,2,2,2,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Printre aceste tehnologii se număra fisiunea nucleară, care constă în divizarea unui atom foarte electronegativ în atomi mai mici și care produce o energie de zece ori mai mare.",nucleară,4,4,4,2,2,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,
"Printre aceste tehnologii se număra fisiunea nucleară, care constă în divizarea unui atom foarte electronegativ în atomi mai mici și care produce o energie de zece ori mai mare.",electronegativ,4,5,2,4,4,5,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,4,
"Un alfabet ingenios  le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor  o modalitate excelentă  de a afla mai multe despre viața și cultura mayașă.",ingenios,2,2,1,2,2,2,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,10,
"Un alfabet ingenios le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor o modalitate excelentă de a afla mai multe despre viața și cultura mayașă.",antropologilor,2,4,2,5,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,
"Un alfabet ingenios le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor o modalitate excelentă de a afla mai multe despre viața și cultura mayașă.",excelentă,2,2,1,2,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,6,
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă  de aspectul general  și de stilizare, dar cartea de față abordează  pe scurt CSS.",ocupă,1,2,1,2,2,2,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,7,
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă de aspectul general și de stilizare, dar cartea de față abordează pe scurt CSS.",general,2,2,1,2,2,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,7,
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă de aspectul general și de stilizare, dar cartea de față abordează pe scurt CSS.",abordează,2,2,1,2,2,2,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,10,
"În calitate de guvernator, a urmat o politică atât de strictă de a numi  în funcții doar colegi republicani, încât a devenit părintele  sistemului de favoruri  din America.",numi,1,2,1,1,2,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,6,
"În calitate de guvernator, a urmat o politică atât de strictă de a numi în funcții doar colegi republicani, încât a devenit părintele sistemului de favoruri din America.",părintele,1,4,1,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,6,
"În calitate de guvernator, a urmat o politică atât de strictă de a numi în funcții doar colegi republicani, încât a devenit părintele sistemului de favoruri din America.",favoruri,2,4,1,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,6,
"Ca adjective, terminațiile lor variază  în funcție  de substantivele  pe care le modifică.",variază,2,4,1,1,2,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,4,
"Ca adjective, terminațiile lor variază în funcție de substantivele pe care le modifică.",funcție,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,
"Ca adjective, terminațiile lor variază în funcție de substantivele pe care le modifică.",substantivele,2,2,2,2,2,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,10,
"Deoarece un singur reflector parabolic  atinge o precizie  de focalizare  mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",parabolic,4,5,4,2,2,4,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,
"Deoarece un singur reflector parabolic atinge o precizie de focalizare mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",precizie,2,4,1,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,
"Deoarece un singur reflector parabolic atinge o precizie de focalizare mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",focalizare,4,4,4,2,2,4,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,7,
"Pe lângă faptul că a fost regină  a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh  care a folosit titlul  de Împărăteasă a Indiei.",regină,1,4,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Pe lângă faptul că a fost regină a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh care a folosit titlul de Împărăteasă a Indiei.",monarh,2,2,1,1,2,2,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,7,
"Pe lângă faptul că a fost regină a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh care a folosit titlul de Împărăteasă a Indiei.",titlul,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"La sfârșitul secvenței, o racletă îndepărtează tonerul  rămas pe tambur  și întregul proces se repetă  cu o nouă imagine.",tonerul,4,4,2,5,1,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,
"La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.",tambur,2,4,4,4,2,5,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,4,
"La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.",repetă,1,2,1,2,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,7,
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice  din coloranți și grupele cationice  din fibră .",anionice,4,4,5,4,5,5,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,6,
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice din coloranți și grupele cationice din fibră.",cationice,4,5,5,4,5,5,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,7,
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice din coloranți și grupele cationice din fibră.",fibră,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,
"Din cauza faptului că aparatul său de împerechere  este ghimpat, asemănător cu acul  unei lucrătoare, acesta va fi smuls  din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",împerechere,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"Din cauza faptului că aparatul său de împerechere este ghimpat, asemănător cu acul unei lucrătoare, acesta va fi smuls din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",acul,1,2,1,2,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,7,
"Din cauza faptului că aparatul său de împerechere este ghimpat, asemănător cu acul unei lucrătoare, acesta va fi smuls din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",smuls,1,2,1,1,1,2,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,7,
"Pe lângă lexicul  nou, ar trebui să vă uitați și la modul în care se conjugă  verbele  în funcție de subiectul propoziției.",lexicul,2,2,2,2,2,4,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,10,
"Pe lângă lexicul nou, ar trebui să vă uitați și la modul în care se conjugă verbele în funcție de subiectul propoziției.",conjugă,2,4,2,2,2,3,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,6,
"Pe lângă lexicul nou, ar trebui să vă uitați și la modul în care se conjugă verbele în funcție de subiectul propoziției.",verbele,1,4,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,4,
"Ambele utilizează intensiv  funcțiile matematice pentru a descrie  și a prezice  fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",intensiv,1,4,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,
"Ambele utilizează intensiv funcțiile matematice pentru a descrie și a prezice fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",descrie,1,4,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,
"Ambele utilizează intensiv funcțiile matematice pentru a descrie și a prezice fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",prezice,1,4,1,2,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,4,
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea  zonelor recent securizate  din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii  să facă comerț cu patria mamă.",popularea,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea zonelor recent securizate din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii să facă comerț cu patria mamă.",securizate,2,4,2,2,2,3,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,6,
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea zonelor recent securizate din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii să facă comerț cu patria mamă.",coloniștii,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul  pus pe nonviolență și credința că se ajunge la eliberare  prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea  de merite bune și rele.",accentul,1,1,1,1,2,3,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,6,
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul pus pe nonviolență și credința că se ajunge la eliberare prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea de merite bune și rele.",eliberare,1,4,2,1,4,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul pus pe nonviolență și credința că se ajunge la eliberare prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea de merite bune și rele.",acumularea,2,2,1,2,2,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,7,
"Până în anii 1960, tot mai multe trimiteri poștale erau francate  cu masini  de francat decât cu timbre adezive  tradiționale.",francate,5,4,2,5,2,5,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,
"Până în anii 1960, tot mai multe trimiteri poștale erau francate cu masini de francat decât cu timbre adezive tradiționale.",masini,2,4,1,1,1,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,4,
"Până în anii 1960, tot mai multe trimiteri poștale erau francate cu masini de francat decât cu timbre adezive tradiționale.",adezive,2,2,1,4,2,2,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6,
Calcularea unor astfel de capacitanțe  și exploatarea sau luarea măsurilor necesare pentru a le contracara  reprezintă o problemă importantă în ingineria circuitelor electrice .,capacitanțe,5,5,2,2,2,4,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,
Calcularea unor astfel de capacitanțe și exploatarea sau luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.,contracara,4,4,2,4,2,4,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,7,
Calcularea unor astfel de capacitanțe și exploatarea sau luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.,electrice,2,4,1,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,4,
"Capitolul al doilea investighează această legătură puțin mai amănunțit , discutând  gimnastica  mentală a rezolvării problemelor.",amănunțit,1,2,1,1,2,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,7,
"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",discutând,1,1,1,2,2,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,7,
"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",gimnastica,2,4,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,
"Încurajat de susținătorii  din sud (mulți dintre  ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare .",susținătorii,1,4,1,2,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,4,
"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",dintre,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",răsunătoare,2,4,1,1,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca  fișierul font  zipuit .,descărca,1,2,1,1,2,2,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,6,
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,font,2,4,2,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,zipuit,4,5,2,4,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,
"Configurația poate fi, de asemenea, atribuită  pe baza pur  empirică  a activității optice.",atribuită,1,4,2,2,2,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,
"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",pur,1,2,1,2,2,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,6,
"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",empirică,4,4,2,2,2,4,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,6,
"În prezent, un loc este egal  cu aproximativ  600 000 de alegători .",egal,1,2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,10,
"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",aproximativ,1,4,1,1,2,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4,
"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",alegători,1,4,1,1,2,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,6,
