word,label,text
tulburată,complex,"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna."
conflictului,simplu,"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna."
oratorie,complex,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie , a devenit ofițer de informații însărcinat cu infiltrarea  în partidele politice și cu raportarea  către superiorii săi cu privire la activitățile acestora."
infiltrarea,complex,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora."
raportarea,simplu,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora."
nucleofilele,nu cunosc,"Toate celelalte lucruri rămânând fel, nucleofilele  sunt, în general, comparate  între ele în ceea ce privește reactivitatea relativă ."
comparate,complex,"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă."
relativă,complex,"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă."
frecare,complex,"De asemenea, coeficientul de frecare  variază  foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea  celor două substanțe."
variază,complex,"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe."
netezimea,complex,"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe."
sistematic,complex,"Deși necesită disciplină, este extrem de important să se lucreze sistematic  în sens invers  în timp prin lista de registre, epuizând  toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora."
invers,simplu,"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora."
