word,label,text
bând,foarte familiar,"După ce Ron aproape că moare bând  mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată , încât pune capăt conflictului  lor pentru totdeauna."
tulburată,foarte familiar,"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna."
conflictului,simplu,"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna."
oratorie,nici simplu nici complex,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie , a devenit ofițer de informații însărcinat cu infiltrarea  în partidele politice și cu raportarea  către superiorii săi cu privire la activitățile acestora."
infiltrarea,simplu,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora."
raportarea,foarte familiar,"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora."
nucleofilele,nu cunosc,"Toate celelalte lucruri rămânând fel, nucleofilele  sunt, în general, comparate  între ele în ceea ce privește reactivitatea relativă ."
comparate,simplu,"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă."
relativă,complex,"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă."
frecare,complex,"De asemenea, coeficientul de frecare  variază  foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea  celor două substanțe."
variază,foarte familiar,"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe."
netezimea,nici simplu nici complex,"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe."
sistematic,complex,"Deși necesită disciplină, este extrem de important să se lucreze sistematic  în sens invers  în timp prin lista de registre, epuizând  toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora."
invers,foarte familiar,"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora."
epuizând,foarte familiar,"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora."
cadre,nici simplu nici complex,"Deși unele cadre  sunt prevăzute cu trei orificii  pentru știfturile de poziționare, unele frâne  funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite."
orificii,foarte familiar,"Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite."
